"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"NO.45","2.2","0.9","1","1","1","1","3.5","2","0.7","0.6","0.7","0.7","0.6","0.5","0.3","0.3","0.2","0.2","0.3","0.2","0.3","0.2","0.3","0.2"
"NO.6586","2.8","1.8","4","1.3","0.5","0.5","0.5","1.2","1.5","1","0.8","0.7","0.7","0.8","1","1.5","1.2","0.2","0.4","0.3","0.3","0.4","0.3","0.3"
"NO.6592","4.4","0.8","2.9","1","0.8","0.7","0.7","2.7","0.7","0.7","0.6","0.4","0.4","0.4","0.4","2.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5"
"NO.6593","2.2","0.9","3.5","1.5","1","1","1","1","1","1","1","1","1","1.5","1.2","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"NO.6596","2.2","0.9","1","1","1","4","1","1","1","0.8","0.7","0.7","2.9","1","1.5","1.1","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"NO.6598","4.9","1.7","4","1.3","0.7","0.7","0.8","1","1.5","1.3","0.7","0.7","0.6","0.7","0.7","0.4","0.1","0.2","0.2","0.1","0.2","0.2","0.1","0.2"
"NO.6600","2.8","1.8","3.5","1","1.5","1.3","0.7","0.7","1.4","1.3","0.7","0.7","0.7","0.7","0.7","1.4","1.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"NO.6605","2.8","1.8","2","2","2","2","2","2","1.1","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.2","0.2","0.1","0.2","0.2"
"NO.6607","2.8","3.8","2","2","2","1.3","0.5","0.5","0.5","1.2","2.3","2.5","1.3","0.1","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.2","0.1","0.2"
"NO.6608","2.8","3.8","4","2","3.5","1","0.8","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.5","0.6","0.5","0.5","0.6","0.5"
"NO.6609","4.9","1.7","1.5","1","1.5","2","1.5","1","1","1","2","1.6","0.1","0.2","0.2","0.1","0.2","0.1","0.2","0.2","0.1","0.2","0.1","0.2"
"NO.6611","2.8","1.3","1","3.5","3.5","1","1","1","1","1","0.8","0.7","0.7","0.9","1","0.6","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"NO.6612","2.8","1.8","4","2","2","2","2","1.3","0.7","0.7","0.8","1","0.8","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"NO.6613","2.8","1.8","2","2","2","1.3","0.7","0.7","1.3","2","1.3","0.7","0.7","0.6","0.5","0.5","0.5","1.2","1.2","0.3","0.4","0.4","0.3","0.4"
"NO.6614","2.8","1.8","2","2","2","2","3.1","0.3","0.3","0.3","0.3","0.2","0.8","1.1","1.6","1.5","1","0.8","0.5","0.6","0.5","0.6","0.5","0.6"
"NO.6617","4.4","0.8","1.4","1.5","1","3","1","1.5","1.3","0.5","0.5","0.5","1.2","2","1","0.1","0.1","0.1","0","0.1","0.1","0.1","0","0.1"
"NO.6618","4.9","1.7","2","4","2","2","1.1","0.3","0.3","0.3","0.3","0.3","0.3","0.6","1","0.8","0.5","0.6","0.5","0.6","0.5","0.6","0.5","0.6"
"NO.6619","2.8","1.8","2","2","3.3","0.7","0.7","0.6","0.7","0.7","1.3","1.3","0.5","0.5","0.5","0.5","0.7","0.7","0.5","0.5","0.4","0.4","0.5","0.4"
"NO.6620","2.8","3.8","2","2","2","2","1.4","0.9","0.9","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.7","0.7","0.6","0.5","0.5","0.6","0.5"
"NO.6621","4.9","1.7","5.5","1","1.5","1.5","1","0.7","0.4","0.4","0.4","0.4","0.7","1","1","1","0.7","0.5","0.5","0.5","0.5","0.4","0.5","0.5"
"NO.6622","2.8","3.8","1.5","1","0.8","0.5","0.5","0.5","0.8","1","1","1","0.7","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.7"
"NO.6623","2.2","0.9","3.5","1.5","1","1","1","0.8","0.7","0.7","1.4","2","1.5","1","1","1","1.5","1","0","0","0","0","0","0"
"NO.6625","2.8","3.3","1","1.5","5.5","1","1","1","1.5","1.3","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.4","0.4","0.4","0.4","0.4"
"NO.6627","2.8","1.3","1","1.5","2","1.5","1","0.8","0.7","0.7","1.3","2","2","2","1.2","0.4","0.4","0.4","0.4","0.2","0.1","0.1","0.1","0.1"
"NO.6629","2.8","1.8","2","2","3.5","1","1","1","1","1","0.6","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"NO.6630","2.8","1.8","2","2","2","1.3","0.7","0.7","0.9","1","1.5","1.5","1","0.8","0.7","0.7","1.4","1.2","0.4","0.4","0.4","0.4","0.4","0.4"
"NO.6631","2.8","1.8","2","2","2","3.5","1","0.8","0.7","0.7","0.8","1","1","1","0.6","0.3","0.2","0.2","0.2","0.3","0.2","0.2","0.3","0.2"
"NO.6634","4.9","3.7","1.5","1","0.8","0.7","0.7","0.7","0.7","0.7","0.9","1","1.5","1.5","1","2.6","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"NO.6636","2.8","1.8","3.3","0.7","0.7","0.7","1.1","1","1","3","1","1.5","1.3","0.7","0.7","0.4","0.2","0.3","0.2","0.2","0.2","0.3","0.2","0.2"
"NO.6638","2.2","0.9","1.5","2","2","2","1.5","1","0.8","0.7","0.7","0.9","1","0.8","0.7","0.7","0.9","1","0.7","0.4","0.4","0.4","0.4","0.4"
"NO.6640","2.8","1.8","2","2","2","2","1.3","0.7","0.7","1.3","1.5","1","0.8","0.5","0.5","0.5","1.2","1.2","0.3","0.4","0.3","0.3","0.4","0.3"
"NO.6644","2.8","1.8","2","2","4","1.5","1","0.8","0.5","0.5","0.5","0.7","1","0.8","0.7","0.7","0.5","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"NO.6645","2.8","1.3","1","0.8","0.7","0.7","0.7","0.7","0.7","1.4","1.5","1","1.5","2","1.3","0.7","0.7","1.4","2","1.3","0.6","0.6","0.6","0.6"
"NO.6647","6.3","2.3","2","1.3","0.5","0.5","0.5","2.5","0.5","0.5","0.5","0.5","0.7","0.7","1.4","1.3","0.7","0.7","0.5","0.4","0.4","0.4","0.4","0.4"
"NO.6648","2.8","1.8","2","2","2","1.3","0.7","0.7","0.5","0.4","0.4","0.4","0.4","0.7","1","1.5","2","1.2","0.4","0.4","0.3","0.4","0.4","0.4"
"NO.6652","2.2","0.9","1.5","2","1.5","1","1.5","2","1.5","1","1","1","1","1","0.8","0.5","0.5","0.5","0.5","0.7","0.7","0.5","0.4","0.4"
"NO.6653","2.8","1.3","1","3.5","1.5","1","0.8","0.7","0.7","1.4","1.5","1","1.5","2","1.3","0.7","0.7","1.4","2","1.2","0.2","0.2","0.2","0.2"
"NO.6654","2.8","3.3","1","1","1","3","1","1","1","0.8","0.7","0.7","0.6","0.5","0.5","0.5","0.5","0.7","0.7","0.7","0.8","0.8","0.7","0.8"
"NO.6655","2.8","1.8","3.3","0.4","0.6","0.4","1.3","2","2","1.5","1","1","1","0.8","0.4","0.6","0.4","0.5","0.5","0.5","0.4","0.5","0.4","0.5"
"NO.6657","2.8","3.1","0.7","0.7","1.3","1.5","1","1","1","1.5","1.3","0.7","0.7","2.8","1","0.7","0.5","0.4","0.4","0.5","0.4","0.4","0.5","0.4"
"NO.6659","2.8","1.8","2","2","1.5","1","1.5","2","1.3","0.5","0.5","0.5","1.2","1.3","0.5","0.5","0.5","0.3","0.1","0.1","0.1","0.1","0.1","0.1"
"NO.6663","4.4","0.8","1.4","1.5","1","0.8","0.7","0.7","1.3","2","1.5","1","1","1","0.6","0.2","0.1","0.2","0.2","0.2","0.2","0.1","0.2","0.2"
"NO.6665","2.8","3.3","1","0.8","0.7","0.7","0.9","1","1.5","1.5","1","3","1","1","1","1","1","2.7","0.5","0.5","0.5","0.5","0.5","0.5"
"NO.6666","2.2","0.9","1.5","1.5","1","3.5","2","1.3","0.7","0.7","0.6","0.7","0.7","0.5","0.4","0.4","0.4","0.4","0.3","0.2","0.3","0.2","0.2","0.2"
"NO.6671","4.4","0.8","1","1.1","1.2","1.3","1.4","1.5","1.5","1.5","1.5","1.4","1.3","1.2","1.1","1","0.9","0.7","0.6","0.5","0.5","0.4","0.3","0.8"
"NO.6672","2.8","1.8","2","2","1.5","1","0.8","0.7","0.7","1.3","2","1.3","0.5","0.5","0.5","0.7","1","0.6","0.2","0.2","0.3","0.2","0.2","0.2"
"NO.6673","2.8","3.8","1.5","1","3.5","1.3","0.7","0.7","0.6","0.7","0.7","0.9","1.2","1.2","1.2","1.2","0.6","0.1","0.1","0","0.1","0.1","0","0.1"
"NO.6674","2.8","1.8","2","2","2","1.3","0.7","0.7","1.3","1.3","0.7","0.7","1.3","1.3","0.5","0.5","0.5","0.5","0.6","0.5","0.6","0.6","0.5","0.6"
"NO.6676","4.9","1.7","1.5","1","1.5","1.3","0.5","0.5","0.5","1.2","1.5","1","1.5","1.3","0.7","0.7","0.6","0.7","0.7","0.4","0.2","0.3","0.2","0.2"
"NO.6677","2.8","1.3","1","2.8","0.5","0.5","0.5","1.2","1.5","1","1.5","1.3","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.3","0.4","0.4","0.3","0.4"
"NO.6680","4.4","0.8","1.4","4","3.5","0.6","0.5","1.3","1.2","0.6","0.5","0.5","0.6","0.7","0.7","0.8","1","0.5","0.4","0.5","0.4","0.5","0.5","0.4"
"NO.6681","4.4","0.8","1.4","2","2","3.5","1","2.5","2.5","1","0.8","0.7","0.7","0.6","0.7","0.7","0.6","0.5","0.5","0.5","0.2","0.1","0","0.1"
"NO.6682","2.2","0.9","0.8","0.7","0.7","0.9","1","1.5","2","2","1.3","0.7","0.7","1.4","2","1.3","0.7","0.7","1.4","1.2","0.5","0.5","0.5","0.5"
"NO.6683","2.2","0.9","1","1","1","1","1.5","2","1.5","1","1","1","1.5","1.5","1","0.8","0.7","0.7","1.4","1.1","0.2","0.2","0.2","0.2"
"NO.6684","2.8","1.8","4","1.5","1","1","1","1","1","1.5","1.5","1","1","1","1","1","0.7","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"NO.6685","2.8","3.8","4","2","2","1.5","1","0.8","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.7","0.7","0.8","0.7"
"NO.6686","2.8","3.8","2","2","2","2","2","1.3","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.7","1","0.7","0.3","0.3","0.3","0.3","0.3","0.3"
"NO.6687","2.8","1.8","2","2","2","2","1.3","0.7","0.7","0.8","1","1.5","1.3","0.7","0.7","0.6","0.7","0.7","0.7","0.8","0.8","0.8","0.8","0.8"
"NO.6688","4.4","0.8","0.9","1","1.5","5.3","0.7","0.7","0.6","0.5","0.5","0.5","0.7","1","1","1","2.6","0.3","0.2","0.2","0.2","0.2","0.3","0.2"
"NO.6691","1.8","1","1.3","1","5.5","2","3.3","0.5","0.5","0.5","0.8","1","0.8","0.7","0.6","1.4","1.2","0.5","0.5","0.4","0.5","0.5","0.5","0.4"
