"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"NO.45","0.000246","0.000717","0.001033","0.001179","0.001572","0.002372","0.003604","0.005784","0.007201","0.007615","0.007736","0.007839","0.007656","0.007624","0.007772","0.007984","0.00802","0.008091","0.007969","0.007802","0.007607","0.007464","0.007357","0.007225"
"NO.6586","0.001962","0.003628","0.009202","0.017494","0.027367","0.034686","0.039144","0.038238","0.036461","0.034311","0.032496","0.030688","0.029566","0.029378","0.030212","0.030365","0.032234","0.03693","0.039767","0.041636","0.042848","0.044784","0.047966","0.049391"
"NO.6592","0.01","0.0085","0.011","0.01475","0.0186","0.0215","0.021557","0.021938","0.022156","0.02196","0.020809","0.020067","0.019769","0.019243","0.0199","0.020538","0.021724","0.022889","0.023611","0.023375","0.024414","0.025409","0.026522","0.029529"
"NO.6593","0.005","0.00685","0.0129","0.02325","0.029","0.036417","0.038543","0.039525","0.037344","0.03683","0.034782","0.033725","0.032","0.030764","0.03136","0.03115","0.031435","0.033878","0.034711","0.03589","0.035786","0.036323","0.03723","0.037767"
"NO.6596","0.0015","0.00205","0.011333","0.01925","0.02596","0.030283","0.036457","0.039488","0.042144","0.04106","0.040573","0.038842","0.038662","0.038836","0.03916","0.040325","0.040335","0.042444","0.044963","0.046475","0.04759","0.048373","0.051304","0.051821"
"NO.6598","0.000512","0.001059","0.00352","0.006936","0.012257","0.019457","0.025678","0.029718","0.030779","0.030526","0.028834","0.027744","0.026901","0.026243","0.025829","0.025926","0.025497","0.025437","0.027325","0.028648","0.029323","0.031796","0.033286","0.033818"
"NO.6600","0.002","0.0045","0.013233","0.0195","0.02578","0.027667","0.030686","0.033238","0.035678","0.03434","0.034127","0.032683","0.031685","0.031336","0.030387","0.029531","0.028824","0.030061","0.030553","0.0313","0.031752","0.032345","0.033374","0.033667"
"NO.6605","0.00119","0.00257","0.003323","0.00564","0.008242","0.012627","0.021171","0.026768","0.029874","0.03194","0.031726","0.031232","0.030032","0.029135","0.028603","0.028203","0.028369","0.029533","0.030578","0.031906","0.032629","0.033588","0.035444","0.035919"
"NO.6607","0.001358","0.00187","0.005548","0.011938","0.020457","0.026196","0.031287","0.036997","0.038794","0.037792","0.035791","0.033959","0.032766","0.031427","0.030498","0.030335","0.030516","0.032384","0.034649","0.036559","0.036842","0.037547","0.038554","0.038858"
"NO.6608","0.000817","0.002644","0.004558","0.008946","0.018342","0.02925","0.03704","0.038943","0.037799","0.036127","0.034425","0.032984","0.0315","0.030581","0.030189","0.029608","0.030196","0.033783","0.035453","0.036429","0.036197","0.036767","0.037544","0.037676"
