"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"NO.6611","0.0113","0.0295","0.0771","0.12","0.2493","0.3161","0.4203","0.492","0.545","0.5748","0.6","0.6311","0.6624","0.7","0.7249","0.7453","0.8106","0.8506","0.9134","0.9838","1.0019","1.0514","1.1099","1.1636"
"NO.6612","0.0014","0.0093","0.0311","0.0808","0.1653","0.2582","0.3584","0.4456","0.4819","0.5089","0.541","0.5643","0.5939","0.6302","0.6693","0.7006","0.7531","0.848","0.9298","1.0051","1.0499","1.116","1.1899","1.2328"
"NO.6613","0.0007","0.0027","0.0123","0.042","0.0943","0.1609","0.2434","0.3375","0.3947","0.4198","0.4428","0.4629","0.4858","0.5128","0.5363","0.5577","0.5891","0.6551","0.7074","0.7537","0.7878","0.8329","0.8862","0.9142"
"NO.6614","0.0007","0.005","0.0147","0.0339","0.0729","0.1525","0.2147","0.2788","0.3098","0.3356","0.3559","0.3696","0.3901","0.415","0.448","0.4764","0.5144","0.5859","0.6397","0.697","0.7439","0.8105","0.8749","0.9262"
"NO.6617","0.0013","0.0024","0.0061","0.0121","0.0216","0.034","0.0648","0.1077","0.1441","0.1665","0.1797","0.1885","0.1975","0.2115","0.2342","0.2522","0.2669","0.2932","0.3198","0.3518","0.3717","0.3977","0.4304","0.4598"
"NO.6618","0.0026","0.0064","0.0182","0.0536","0.1201","0.194","0.2654","0.2983","0.3185","0.3332","0.3507","0.3646","0.379","0.3941","0.4226","0.4427","0.4709","0.5333","0.5891","0.6417","0.6732","0.7223","0.7683","0.8084"
"NO.6619","0.0011","0.0043","0.0091","0.0227","0.0555","0.1115","0.1767","0.2382","0.2667","0.2873","0.2967","0.3046","0.3105","0.3229","0.3333","0.3439","0.3596","0.3919","0.4155","0.4434","0.4601","0.4839","0.5069","0.528"
"NO.6620","0.0014","0.0079","0.0193","0.0466","0.0922","0.1566","0.2342","0.2978","0.3348","0.3647","0.3833","0.3976","0.4094","0.4517","0.4969","0.5265","0.5853","0.6998","0.7778","0.8461","0.8936","0.9563","1.0462","1.108"
"NO.6621","0.0025","0.0091","0.0302","0.0716","0.137","0.218","0.3138","0.3802","0.413","0.4329","0.45","0.4653","0.4802","0.5045","0.5336","0.562","0.6084","0.7009","0.7699","0.8388","0.8802","0.9363","1.0042","1.0529"
"NO.6622","0.0028 ","0.0069 ","0.0206 ","0.0387 ","0.0627 ","0.1113 ","0.1599 ","0.1956 ","0.2115 ","0.2175 ","0.2279 ","0.2409 ","0.2460 ","0.2597 ","0.2795 ","0.2906 ","0.3037 ","0.3390 ","0.3697 ","0.3943 ","0.4109 ","0.4310 ","0.4510 ","0.4650 "
"NO.6623","0.0025","0.0066","0.013","0.0632","0.0951","0.1654","0.2484","0.3056","0.348","0.3697","0.3957","0.4246","0.4617","0.4932","0.5409","0.5925","0.6664","0.7642","0.8265","0.8757","0.9186","0.9715","1.0114","1.069"
"NO.6625","0.0007","0.005","0.0202","0.0485","0.0893","0.1439","0.2148","0.2568","0.2953","0.3148","0.3289","0.3462","0.3661","0.3948","0.4354","0.4596","0.5141","0.6003","0.6603","0.7312","0.7733","0.8388","0.9186","0.97"
"NO.6627","0.0008","0.0024","0.0051","0.0145","0.0311","0.0471","0.0725","0.0955","0.1039","0.1089","0.1193","0.128","0.1389","0.1691","0.1936","0.2151","0.2449","0.3004","0.3334","0.3877","0.4202","0.4682","0.5298","0.5684"
"NO.6629","0.0015","0.0051","0.0168","0.0325","0.0639","0.1154","0.1733","0.2036","0.2209","0.2326","0.2445","0.2564","0.2672","0.2908","0.3156","0.3265","0.3429","0.3796","0.3985","0.4195","0.4373","0.4522","0.4697","0.4827"
"NO.6630","0.0027","0.0099","0.0323","0.069","0.1113","0.132","0.1632","0.2181","0.2605","0.2911","0.3064","0.3268","0.3423","0.3743","0.4014","0.4391","0.4922","0.5641","0.632","0.6787","0.7514","0.8036","0.9079","0.9619"
"NO.6631","0.0024","0.0067","0.0144","0.0309","0.0718","0.1353","0.2096","0.2868","0.323","0.3509","0.3691","0.3959","0.42","0.4513","0.5028","0.5349","0.5815","0.6768","0.7261","0.7866","0.8165","0.8652","0.927","0.9625"
"NO.6634","0.0134","0.07","0.1215","0.1699","0.2077","0.2569","0.2743","0.2902","0.3072","0.3128","0.3265","0.338","0.3641","0.3905","0.4084","0.4407","0.4836","0.5319","0.5809","0.645","0.6848","0.7546","0.8278","0.87"
"NO.6636","0.0007","0.0019","0.0031","0.0145","0.0417","0.0792","0.1023","0.1205","0.1307","0.1492","0.1625","0.2064","0.2496","0.2939","0.3385","0.3674","0.4239","0.507","0.5646","0.6251","0.671","0.7307","0.8072","0.8554"
"NO.6638","0.0048","0.0066","0.0116","0.0343","0.0687","0.1273","0.1826","0.221","0.2488","0.2746","0.2922","0.3008","0.3273","0.3522","0.3746","0.4111","0.4717","0.5404","0.6294","0.7062","0.7746","0.8504","0.9281","0.9723"
"NO.6640","0.0014","0.0029","0.0076","0.0249","0.0552","0.107","0.1759","0.2334","0.2726","0.2907","0.302","0.318","0.3323","0.3601","0.401","0.4293","0.4596","0.5312","0.5879","0.6599","0.7204","0.8012","0.8954","0.9548"
"NO.6644","0.0009","0.0027","0.008","0.0193","0.0436","0.085","0.1369","0.1682","0.1813","0.1882","0.1983","0.2073","0.2314","0.2693","0.2888","0.3022","0.3283","0.3738","0.4222","0.4784","0.5124","0.5606","0.618","0.652"
"NO.6645","0.002","0.0054","0.0183","0.0373","0.063","0.09","0.1127","0.1381","0.1495","0.168","0.1839","0.2081","0.243","0.2666","0.3032","0.3396","0.3833","0.4367","0.483","0.5554","0.6041","0.669","0.7362","0.7952"
"NO.6647","0.0026","0.0138","0.027","0.044","0.067","0.1169","0.1733","0.2024","0.2214","0.2369","0.249","0.258","0.2758","0.2987","0.3347","0.359","0.397","0.465","0.5591","0.648","0.7233","0.8069","0.895","1.11"
"NO.6648","0.001","0.0046","0.0124","0.0232","0.0363","0.0705","0.0915","0.1183","0.1436","0.1652","0.1768","0.1851","0.1935","0.205","0.2172","0.2274","0.2616","0.3146","0.3703","0.4429","0.5011","0.5769","0.6453","0.6848"
"NO.6652","0.0001","0.002","0.0075","0.0169","0.0265","0.0444","0.0607","0.0838","0.0993","0.1057","0.1145","0.1258","0.1346","0.1514","0.1742","0.1925","0.2206","0.262","0.2956","0.3428","0.3802","0.409","0.4481","0.4792"
"NO.6653","0.0037","0.0097","0.0215","0.0557","0.0961","0.1806","0.2799","0.3406","0.3695","0.39","0.4202","0.4618","0.5065","0.5881","0.6484","0.728","0.8052","0.9534","1.1016","1.2271","1.3343","1.4466","1.57","1.63"
"NO.6654","0.0004","0.0029","0.0131","0.0281","0.045","0.0566","0.0791","0.0976","0.1131","0.1191","0.1249","0.1329","0.1403","0.1507","0.1709","0.1866","0.2076","0.2421","0.2662","0.3073","0.3439","0.3766","0.419","0.4509"
"NO.6655","0.0016","0.0041","0.0128","0.026","0.0509","0.0872","0.1302","0.16","0.1925","0.2141","0.2299","0.2458","0.2641","0.2888","0.3183","0.3515","0.3905","0.4627","0.5251","0.5829","0.6232","0.6807","0.7533","0.8185"
"NO.6657","0.0008","0.005","0.0141","0.029","0.0617","0.1087","0.1324","0.1585","0.1709","0.1872","0.2061","0.2258","0.254","0.29","0.3341","0.3738","0.4298","0.5157","0.5828","0.6644","0.7013","0.7689","0.8449","0.8886"
"NO.6659","0.0009","0.0023","0.0082","0.0196","0.0381","0.0631","0.0785","0.0949","0.1083","0.1141","0.1209","0.1297","0.1588","0.1935","0.2256","0.2548","0.2908","0.3471","0.3919","0.4368","0.4682","0.508","0.5542","0.596"
"NO.6663","0.002","0.007","0.0286","0.0524","0.0875","0.1315","0.1597","0.1809","0.1964","0.2123","0.23","0.2565","0.2895","0.3478","0.3954","0.4204","0.4606","0.5551","0.63","0.6921","0.7302","0.7775","0.833","0.876"
"NO.6665","0.004","0.017","0.0432","0.0729","0.0892","0.1035","0.1285","0.145","0.1645","0.1877","0.222","0.2541","0.2946","0.3308","0.3708","0.4188","0.5357","0.6382","0.717","0.7852","0.8294","0.8729","0.9948","1.0779"
"NO.6666","0.0002","0.0014","0.0036","0.0121","0.0294","0.0527","0.0864","0.1098","0.134","0.1537","0.1751","0.1999","0.2245","0.2592","0.3064","0.3419","0.3981","0.4647","0.5107","0.5566","0.5897","0.6416","0.7123","0.7522"
"NO.6671","0.002","0.005","0.0087","0.018","0.035","0.0624","0.1059","0.147","0.1859","0.2189","0.24","0.257","0.276","0.307","0.342","0.386","0.4281","0.5332","0.624","0.7323","0.809","0.93","1.03","1.1"
"NO.6672","0.0008","0.0027","0.0073","0.0176","0.0386","0.0627","0.0815","0.0941","0.1046","0.113","0.1239","0.1333","0.1463","0.1652","0.1951","0.2077","0.2325","0.2739","0.3201","0.3777","0.4168","0.4652","0.5235","0.5564"
"NO.6673","0.0009","0.0025","0.0095","0.0226","0.0578","0.1138","0.1825","0.2299","0.2593","0.2754","0.2975","0.3252","0.3691","0.422","0.4762","0.5063","0.5503","0.6412","0.7303","0.8298","0.9028","0.9856","1.0717","1.123"
"NO.6674","0.0012","0.0023","0.0123","0.0329","0.058","0.1131","0.1542","0.1789","0.1984","0.2127","0.2253","0.2428","0.2672","0.3128","0.3467","0.3802","0.4361","0.5085","0.5774","0.6464","0.6881","0.7468","0.7991","0.8275"
"NO.6676","0.0061","0.0148","0.0403","0.0755","0.1155","0.157","0.2118","0.2482","0.293","0.3086","0.3287","0.3389","0.3535","0.3881","0.438","0.4617","0.5022","0.5754","0.6343","0.695","0.7355","0.7805","0.8244","0.8602"
"NO.6677","0.0002","0.0011","0.0019","0.005","0.013","0.0284","0.0486","0.0771","0.0939","0.1043","0.1125","0.1193","0.1264","0.1332","0.1445","0.1585","0.1721","0.1905","0.2105","0.2355","0.2483","0.2648","0.2796","0.2931"
"NO.6680","0.002","0.005","0.018","0.042","0.092","0.159","0.217","0.23","0.29","0.313","0.36","0.374","0.385","0.4","0.47","0.49","0.54","0.65","0.69","0.75","0.82","0.87","0.92","0.96"
"NO.6681","0.0017","0.0053","0.0135","0.0317","0.0694","0.1279","0.1985","0.2434","0.2822","0.3041","0.3199","0.3411","0.3575","0.3825","0.4206","0.4486","0.482","0.5544","0.6226","0.7008","0.7669","0.8377","0.9033","0.9506"
"NO.6682","0.0013","0.0021","0.004","0.0083","0.0157","0.0312","0.0544","0.0901","0.1187","0.1699","0.2137","0.2421","0.2623","0.2779","0.2925","0.315","0.3345","0.3738","0.4154","0.4548","0.4779","0.5085","0.5335","0.593"
"NO.6683","0.0052","0.0086","0.0131","0.0274","0.0433","0.0673","0.0964","0.148","0.2043","0.2328","0.2623","0.2925","0.3062","0.3297","0.3395","0.3638","0.4082","0.4549","0.4975","0.5308","0.5581","0.607","0.6478","0.6923"
"NO.6684","0.0028","0.0075","0.0318","0.0781","0.1249","0.2069","0.2657","0.3157","0.3411","0.3662","0.387","0.4087","0.4355","0.4725","0.5119","0.5502","0.5903","0.6803","0.7676","0.8667","0.9325","1.0037","1.1147","1.1628"
"NO.6685","0.0021","0.0044","0.0107","0.0323","0.0739","0.1424","0.2363","0.3074","0.3497","0.3841","0.4084","0.4247","0.4507","0.4909","0.5376","0.5638","0.5949","0.677","0.7669","0.8614","0.9306","1.0003","1.0882","1.1567"
"NO.6686","0.0014","0.0075","0.0204","0.0524","0.1022","0.1542","0.2229","0.2701","0.3077","0.3281","0.3449","0.3604","0.379","0.4054","0.4459","0.4734","0.5078","0.5857","0.6518","0.7359","0.7888","0.8467","0.9173","0.9704"
"NO.6687","0.0015","0.0045","0.0086","0.0314","0.0691","0.1278","0.2092","0.2702","0.2987","0.3139","0.3214","0.3308","0.3426","0.3609","0.3858","0.4092","0.4471","0.5148","0.5803","0.646","0.6929","0.7597","0.8215","0.8562"
"NO.6688","0.0015","0.0041","0.0067","0.0188","0.0444","0.0813","0.1364","0.1948","0.2198","0.2406","0.2511","0.2624","0.2745","0.295","0.3256","0.3549","0.3833","0.4338","0.4798","0.5337","0.5687","0.6201","0.6652","0.7055"
"NO.6691","0.0008","0.003","0.007","0.011","0.018","0.0293","0.0415","0.068","0.094","0.146","0.219","0.274","0.308","0.33","0.348","0.374","0.409","0.47","0.54","0.607","0.657","0.721","0.784","0.828"
"NO.6693","0.0038","0.0068","0.011","0.0141","0.0265","0.0514","0.1148","0.174","0.2682","0.3218","0.363","0.4011","0.4396","0.4766","0.519","0.548","0.6195","0.7245","0.8376","0.9379","1.0336","1.1245","1.2236","1.2656"
"NO.6694","0.0005","0.0014","0.0086","0.0267","0.0577","0.1084","0.1681","0.196","0.2201","0.2299","0.2399","0.2467","0.2552","0.2785","0.3089","0.3182","0.3516","0.413","0.4599","0.515","0.552","0.5995","0.647","0.6917"
"NO.6695","0.0122","0.0406","0.1138","0.1566","0.1915","0.2194","0.2514","0.2753","0.2901","0.3033","0.3178","0.3413","0.3626","0.389","0.4264","0.4587","0.4958","0.5518","0.5937","0.6556","0.6932","0.7507","0.8039","0.8464"
"NO.6697","0.0005","0.0025","0.0041","0.0093","0.0208","0.0411","0.0786","0.1003","0.1156","0.1284","0.1398","0.1494","0.164","0.1872","0.2159","0.2232","0.2523","0.3152","0.3774","0.4517","0.4883","0.558","0.6405","0.685"
"NO.6699","0.0001","0.001","0.0043","0.0074","0.0147","0.024","0.0399","0.0568","0.0698","0.0738","0.0789","0.0852","0.0905","0.1082","0.1166","0.1266","0.16","0.2019","0.2323","0.2513","0.2781","0.3025","0.3205","0.3332"
"NO.69","0.00021","0.00172","0.00652","0.0174","0.033","0.05583","0.08398","0.10895","0.12757","0.14782","0.17453","0.20499","0.22671","0.25271","0.27139","0.31076","0.35862","0.40145","0.45324","0.49142","0.52406","0.55325","0.61829","0.65309"
