"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"NO.45","0.0002","0.0014","0.0031","0.0047","0.0079","0.0142","0.0252","0.0463","0.0648","0.0761","0.0851","0.0941","0.0995","0.1067","0.1166","0.1277","0.1363","0.1456","0.1514","0.156","0.1597","0.1642","0.1692","0.1734"
"NO.6586","0.002","0.0073","0.0276","0.07","0.1368","0.2081","0.274","0.3059","0.3281","0.3431","0.3575","0.3683","0.3844","0.4113","0.4532","0.4858","0.548","0.6647","0.7556","0.8327","0.8998","0.9852","1.1032","1.1854"
"NO.6592","0.01","0.017","0.033","0.059","0.093","0.129","0.1509","0.1755","0.1994","0.2196","0.2289","0.2408","0.257","0.2694","0.2985","0.3286","0.3693","0.412","0.4486","0.4675","0.5127","0.559","0.61","0.7087"
"NO.6593","0.005","0.0137","0.0387","0.093","0.145","0.2185","0.2698","0.3162","0.3361","0.3683","0.3826","0.4047","0.416","0.4307","0.4704","0.4984","0.5344","0.6098","0.6595","0.7178","0.7515","0.7991","0.8563","0.9064"
"NO.6596","0.0015","0.0041","0.034","0.077","0.1298","0.1817","0.2552","0.3159","0.3793","0.4106","0.4463","0.4661","0.5026","0.5437","0.5874","0.6452","0.6857","0.764","0.8543","0.9295","0.9994","1.0642","1.18","1.2437"
"NO.6598","0.0005","0.0021","0.0106","0.0277","0.0613","0.1167","0.1797","0.2377","0.277","0.3053","0.3172","0.3329","0.3497","0.3674","0.3874","0.4148","0.4334","0.4579","0.5192","0.573","0.6158","0.6995","0.7656","0.8116"
"NO.6600","0.002","0.009","0.0397","0.078","0.1289","0.166","0.2148","0.2659","0.3211","0.3434","0.3754","0.3922","0.4119","0.4387","0.4558","0.4725","0.49","0.5411","0.5805","0.626","0.6668","0.7116","0.7676","0.808"
"NO.6605","0.0012","0.0051","0.01","0.0226","0.0412","0.0758","0.1482","0.2141","0.2689","0.3194","0.349","0.3748","0.3904","0.4079","0.429","0.4513","0.4823","0.5316","0.581","0.6381","0.6852","0.7389","0.8152","0.8621"
"NO.6607","0.0014","0.0037","0.0166","0.0478","0.1023","0.1572","0.219","0.296","0.3491","0.3779","0.3937","0.4075","0.426","0.44","0.4575","0.4854","0.5188","0.5829","0.6583","0.7312","0.7737","0.826","0.8867","0.9326"
"NO.6608","0.0008","0.0053","0.0137","0.0358","0.0917","0.1755","0.2593","0.3115","0.3402","0.3613","0.3787","0.3958","0.4095","0.4281","0.4528","0.4737","0.5133","0.6081","0.6736","0.7286","0.7601","0.8089","0.8635","0.9042"
"NO.6609","0.0013","0.0046","0.0116","0.0283","0.0686","0.1222","0.176","0.2182","0.2391","0.2548","0.266","0.2745","0.2849","0.3016","0.3267","0.341","0.3596","0.3991","0.4235","0.4511","0.4694","0.4932","0.5159","0.5422"
